"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2020Q3","18070","369397","-3.4","1112","3.3","Goods-Producing","01","AL"
Alaska,"2020Q3","3688","42400","-14.1","1713","5.7","Goods-Producing","02","AK"
Arizona,"2020Q3","20729","378071","-1.9","1293","4.4","Goods-Producing","04","AZ"
Arkansas,"2020Q3","12836","223590","-3.4","969","3.9","Goods-Producing","05","AR"
California,"2020Q3","148624","2591990","-5.3","1564","8.7","Goods-Producing","06","CA"
Colorado,"2020Q3","30374","361493","-5.8","1344","1.2","Goods-Producing","08","CO"
Connecticut,"2020Q3","14283","218206","-5.1","1502","2.8","Goods-Producing","09","CT"
Delaware,"2020Q3","3990","49168","-5.3","1205","2.4","Goods-Producing","10","DE"
District Of Columbia,"2020Q3","1334","16487","1.5","1466","4.4","Goods-Producing","11","DC"
Florida,"2020Q3","103910","993261","-2.0","1084","4.6","Goods-Producing","12","FL"
Georgia,"2020Q3","36834","609684","-4.4","1129","2.7","Goods-Producing","13","GA"
Hawaii,"2020Q3","5532","52743","-7.6","1308","5.2","Goods-Producing","15","HI"
Idaho,"2020Q3","14817","153299","1.2","1008","2.2","Goods-Producing","16","ID"
Illinois,"2020Q3","53251","803834","-5.8","1354","4.0","Goods-Producing","17","IL"
Indiana,"2020Q3","27081","680292","-4.5","1165","2.7","Goods-Producing","18","IN"
Iowa,"2020Q3","16490","316657","-4.9","1130","2.6","Goods-Producing","19","IA"
Kansas,"2020Q3","13162","238681","-4.9","1120","4.6","Goods-Producing","20","KS"
Kentucky,"2020Q3","16621","333288","-6.0","1141","4.1","Goods-Producing","21","KY"
Louisiana,"2020Q3","19091","282005","-11.9","1344","-1.1","Goods-Producing","22","LA"
Maine,"2020Q3","9199","92447","-0.9","1077","6.7","Goods-Producing","23","ME"
Maryland,"2020Q3","20949","277563","-4.1","1366","3.3","Goods-Producing","24","MD"
Massachusetts,"2020Q3","28753","401903","-5.3","1650","6.3","Goods-Producing","25","MA"
Michigan,"2020Q3","42648","789771","-7.1","1247","4.0","Goods-Producing","26","MI"
Minnesota,"2020Q3","28626","470462","-5.1","1309","1.8","Goods-Producing","27","MN"
Mississippi,"2020Q3","10335","199357","-3.8","981","4.4","Goods-Producing","28","MS"
Missouri,"2020Q3","24809","412078","-3.0","1151","4.1","Goods-Producing","29","MO"
Montana,"2020Q3","10435","66021","-0.5","1080","3.3","Goods-Producing","30","MT"
Nebraska,"2020Q3","11516","169901","-1.1","1031","5.3","Goods-Producing","31","NE"
Nevada,"2020Q3","8394","167307","-5.8","1306","6.2","Goods-Producing","32","NV"
New Hampshire,"2020Q3","7300","98950","-4.0","1322","3.3","Goods-Producing","33","NH"
New Jersey,"2020Q3","32767","403879","-5.5","1465","4.3","Goods-Producing","34","NJ"
New Mexico,"2020Q3","9307","102549","-13.9","1063","-2.7","Goods-Producing","35","NM"
New York,"2020Q3","70637","820536","-8.3","1376","4.2","Goods-Producing","36","NY"
North Carolina,"2020Q3","42749","708916","-4.4","1126","2.5","Goods-Producing","37","NC"
North Dakota,"2020Q3","6349","71951","-15.0","1286","-6.9","Goods-Producing","38","ND"
Ohio,"2020Q3","41716","907074","-6.0","1199","3.5","Goods-Producing","39","OH"
Oklahoma,"2020Q3","18396","243685","-12.8","1152","-3.4","Goods-Producing","40","OK"
Oregon,"2020Q3","26182","354325","-5.0","1195","4.1","Goods-Producing","41","OR"
Pennsylvania,"2020Q3","47623","838273","-6.8","1246","1.8","Goods-Producing","42","PA"
Rhode Island,"2020Q3","5618","58761","-5.0","1176","4.0","Goods-Producing","44","RI"
South Carolina,"2020Q3","21535","359738","-5.1","1112","2.8","Goods-Producing","45","SC"
South Dakota,"2020Q3","6146","76124","-1.6","996","5.1","Goods-Producing","46","SD"
Tennessee,"2020Q3","21746","480943","-3.8","1158","5.1","Goods-Producing","47","TN"
Texas,"2020Q3","101079","1798485","-9.9","1437","-1.6","Goods-Producing","48","TX"
Utah,"2020Q3","18812","268379","1.4","1101","3.5","Goods-Producing","49","UT"
Vermont,"2020Q3","4523","48088","-5.4","1079","0.3","Goods-Producing","50","VT"
Virginia,"2020Q3","30730","452171","-2.6","1160","1.8","Goods-Producing","51","VA"
Washington,"2020Q3","42103","589042","-6.7","1269","3.2","Goods-Producing","53","WA"
West Virginia,"2020Q3","6697","92558","-13.9","1213","-5.5","Goods-Producing","54","WV"
Wisconsin,"2020Q3","27055","617787","-4.5","1133","3.1","Goods-Producing","55","WI"
Wyoming,"2020Q3","5548","48915","-15.7","1271","-5.1","Goods-Producing","56","WY"
Puerto Rico,"2020Q3","5582","111550","0.2","603","0.5","Goods-Producing","72","PR"
Virgin Islands,"2020Q3","431","3877","-32.5","1734","-1.9","Goods-Producing","78","VI"
 